col_id	kingdom	phylum	class	order	family	genus
COL21	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
COL22	Bacteria	Bacillota	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum
COL23	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira
COL24	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
COL25	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus
COL26	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
COL27	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Anaeroplasma
COL28	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium
COL29	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
COL30	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	NA
COL31	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Ruminobacter
COL32	Bacteria	Bacillota	Clostridia	Monoglobales	Monoglobaceae	Monoglobus
COL33	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum
COL34	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia
COL35	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
COL36	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
COL37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
COL38	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio
COL39	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Mannheimia
COL40	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
COL41	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter
COL42	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA
COL43	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Thomasclavelia
COL44	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
COL45	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
COL46	Bacteria	Cyanobacteriota	Vampirivibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag_111
COL47	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Massiliprevotella
COL48	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus
COL49	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas
COL50	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster
COL51	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter
COL52	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
COL53	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
COL54	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia
COL55	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas
COL56	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Acutalibacter
COL57	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus
COL58	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium
COL59	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Actinobacillus
COL60	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Asteroleplasma
COL61	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Fournierella
COL62	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
COL63	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter
COL64	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Howardella
COL65	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor
COL66	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA
COL67	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
COL68	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Catenisphaera
COL69	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Amedibacillus
COL70	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	NA
COL71	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
COL72	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
COL73	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus
COL74	Bacteria	Bacillota	Clostridia	Peptococcales	Peptococcaceae	Peptococcus
COL75	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
COL76	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella
COL77	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA
COL78	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Aggregatibacter
COL79	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Sarcina
COL80	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Paludicola
COL81	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
COL82	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella
COL83	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
COL84	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	NA
COL85	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
COL86	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera
COL87	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
COL88	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila
COL89	Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira
COL90	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Absiella
COL91	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia
COL92	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
COL93	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella
COL94	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia
COL95	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis
COL96	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter
COL97	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalicoccus
COL98	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium
COL99	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Massiliomicrobiota
COL100	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum
COL101	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas
COL102	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania
COL103	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas
COL104	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospira
COL105	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia
COL106	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus
COL107	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	NA
COL108	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella
COL109	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Metabacillus
COL110	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Caproiciproducens
COL111	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	NA
COL112	Bacteria	Bacillota	Clostridia	NA	NA	NA
COL113	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
COL114	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	NA
COL115	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium
COL116	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter
COL117	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Tractidigestivibacter
COL118	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
COL119	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
